Sensor id; Sensor center x; Sensor center y;
1;929.0;443.0;
165;288.0;647.0;
166;310.0;594.0;
167;327.0;536.0;
168;364.0;451.0;
169;423.0;367.0;
170;476.0;294.0;
173;628.0;165.0;
174;342.0;643.0;
175;367.0;586.0;
176;395.0;504.0;
177;454.0;429.0;
178;507.0;362.0;
179;570.0;305.0;
180;616.0;249.0;
181;668.0;209.0;
182;696.0;181.0;
187;413.0;645.0;
188;444.0;577.0;
189;482.0;496.0;
190;541.0;430.0;
191;575.0;370.0;
192;660.0;326.0;
193;704.0;268.0;
194;740.0;225.0;
199;484.0;640.0;
200;535.0;579.0;
201;566.0;500.0;
202;743.0;342.0;
203;777.0;282.0;
204;803.0;247.0;
208;575.0;648.0;
209;623.0;584.0;
210;796.0;407.0;
211;817.0;351.0;
212;846.0;303.0;
216;671.0;667.0;
218;812.0;553.0;
219;840.0;478.0;
220;867.0;426.0;
221;890.0;371.0;
225;895.0;502.0;
227;883.0;590.0;
228;757.0;621.0;
229;770.0;703.0;
232;921.0;690.0;
233;863.0;752.0;
237;916.0;787.0;
