Sensor id; Sensor center x; Sensor center y;
57;548.0;189.0;
62;523.0;316.0;
63;561.0;243.0;
64;604.0;173.0;
67;510.0;469.0;
68;539.0;382.0;
69;594.0;311.0;
70;633.0;232.0;
71;671.0;159.0;
73;550.0;542.0;
74;681.0;301.0;
75;728.0;213.0;
76;763.0;146.0;
82;612.0;607.0;
83;755.0;353.0;
84;775.0;282.0;
85;822.0;195.0;
86;863.0;134.0;
91;703.0;662.0;
92;742.0;575.0;
93;786.0;491.0;
94;793.0;411.0;
95;838.0;346.0;
96;879.0;263.0;
97;923.0;196.0;
98;957.0;141.0;
102;810.0;639.0;
103;838.0;573.0;
104;876.0;487.0;
105;898.0;413.0;
106;931.0;343.0;
107;982.0;271.0;
108;1018.0;214.0;
111;918.0;631.0;
112;939.0;570.0;
113;963.0;492.0;
114;997.0;423.0;
120;1005.0;631.0;
121;1016.0;580.0;
122;1040.0;513.0;
123;1071.0;450.0;
133;1062.0;635.0;
135;1090.0;537.0;
136;1120.0;478.0;
247;437.0;750.0;
249;404.0;595.0;
250;433.0;661.0;
251;498.0;718.0;
254;467.0;561.0;
255;520.0;630.0;
