Sensor id; Sensor center x; Sensor center y;
101;441.0;415.0;
109;333.0;471.0;
110;375.0;430.0;
117;340.0;560.0;
118;366.0;506.0;
119;414.0;472.0;
126;386.0;597.0;
127;430.0;537.0;
128;474.0;473.0;
129;514.0;404.0;
130;562.0;350.0;
131;607.0;306.0;
138;408.0;665.0;
139;447.0;613.0;
140;511.0;545.0;
141;562.0;481.0;
142;601.0;404.0;
143;646.0;355.0;
146;407.0;834.0;
147;416.0;805.0;
148;425.0;775.0;
149;443.0;734.0;
150;485.0;691.0;
151;538.0;624.0;
152;601.0;558.0;
153;648.0;484.0;
154;689.0;416.0;
156;446.0;864.0;
157;462.0;826.0;
160;583.0;702.0;
161;635.0;634.0;
162;688.0;560.0;
163;738.0;494.0;
164;770.0;430.0;
165;480.0;904.0;
166;506.0;883.0;
168;570.0;809.0;
169;622.0;760.0;
170;671.0;706.0;
171;717.0;639.0;
172;768.0;564.0;
173;799.0;504.0;
174;552.0;896.0;
175;604.0;852.0;
177;655.0;800.0;
178;699.0;755.0;
179;745.0;688.0;
182;830.0;467.0;
187;594.0;939.0;
188;641.0;898.0;
195;846.0;441.0;
199;656.0;931.0;
200;726.0;910.0;
217;831.0;829.0;
229;831.0;852.0;
