Sensor id; Sensor center x; Sensor center y;
1;833.0;846.0;
2;875.0;729.0;
3;920.0;645.0;
4;944.0;555.0;
5;939.0;461.0;
7;880.0;316.0;
8;849.0;277.0;
9;802.0;237.0;
10;932.0;784.0;
11;976.0;693.0;
12;1004.0;592.0;
13;1022.0;499.0;
14;993.0;405.0;
18;1036.0;728.0;
21;1071.0;444.0;
25;1109.0;668.0;
32;1133.0;629.0;
163;492.0;473.0;
164;555.0;443.0;
173;535.0;522.0;
180;513.0;634.0;
181;549.0;602.0;
182;589.0;521.0;
183;622.0;444.0;
184;687.0;373.0;
185;750.0;305.0;
186;780.0;270.0;
192;541.0;707.0;
195;648.0;520.0;
196;700.0;445.0;
197;746.0;377.0;
198;807.0;314.0;
202;603.0;737.0;
203;652.0;685.0;
204;683.0;609.0;
205;724.0;525.0;
206;775.347656;449.085938;
207;827.0;371.0;
210;674.0;810.0;
211;695.0;753.0;
212;735.0;690.0;
213;766.0;608.0;
214;807.265625;522.359375;
215;862.0;439.0;
216;575.435913;927.553589;
219;696.0;873.0;
220;752.0;826.0;
221;786.0;757.0;
222;821.0;684.0;
223;851.0;603.0;
224;875.359375;521.75;
225;759.0;898.0;
226;820.0;904.0;
229;657.626221;975.662598;
230;873.0;949.0;
257;747.0;237.0;
