Sensor id; Sensor center x; Sensor center y;
161;470.0;344.0;
162;528.0;292.0;
168;396.0;559.0;
169;452.0;477.0;
170;503.0;407.0;
171;552.0;346.0;
172;620.0;292.0;
175;416.0;698.0;
176;436.0;614.0;
177;490.0;535.0;
178;536.0;472.0;
179;589.0;409.0;
180;651.0;352.0;
181;703.0;299.0;
182;711.0;252.0;
187;436.0;775.0;
188;483.0;675.0;
189;513.0;603.0;
190;564.0;533.0;
191;607.0;466.0;
192;685.0;424.0;
193;746.0;361.0;
194;780.0;301.0;
195;784.0;255.0;
199;503.0;751.0;
200;560.0;683.0;
201;585.0;605.0;
202;790.0;430.0;
203;819.0;365.0;
204;839.0;303.0;
208;589.0;751.0;
209;648.0;679.0;
210;837.0;490.0;
211;859.0;425.0;
212;874.0;363.0;
216;693.0;753.0;
217;766.0;688.0;
218;828.0;632.0;
219;865.0;560.0;
220;905.0;497.0;
225;920.0;577.0;
227;906.0;644.0;
228;858.0;713.0;
229;772.0;758.0;
230;1014.0;638.0;
231;971.0;672.0;
232;934.865784;735.862915;
233;865.0;785.0;
234;1034.0;674.0;
235;1018.0;714.0;
236;989.0;770.0;
237;933.90625;822.805054;
239;1028.0;758.0;
240;995.0;819.0;
