Sensor id; Sensor center x; Sensor center y;
6;601.0;426.0;
7;548.0;470.0;
8;497.0;540.0;
9;436.0;631.0;
14;552.0;352.0;
15;500.0;408.0;
16;448.0;464.0;
17;389.0;559.0;
21;498.0;298.0;
22;449.0;346.0;
23;395.0;412.0;
24;347.0;494.0;
27;451.0;271.0;
28;399.0;308.0;
30;313.0;440.0;
42;262.0;507.0;
43;287.0;568.0;
44;327.0;637.0;
45;404.0;719.0;
50;213.0;522.0;
51;228.0;581.0;
52;255.0;654.0;
53;326.0;733.0;
60;254.0;738.0;
79;313.0;818.0;
80;389.0;813.0;
81;487.0;779.0;
88;306.0;874.0;
89;380.0;873.0;
90;479.0;846.0;
130;574.0;882.0;
131;576.0;814.0;
132;569.0;723.0;
141;624.0;943.0;
142;637.0;878.0;
143;652.0;827.0;
144;642.0;736.0;
153;689.0;892.0;
155;705.0;749.0;
184;711.0;662.0;
185;645.0;650.0;
186;543.0;632.0;
196;754.0;600.0;
197;692.0;585.0;
198;592.0;569.0;
206;718.0;525.0;
207;642.0;502.0;
215;680.0;453.0;
257;488.0;698.0;
