Sensor id; Sensor center x; Sensor center y;
6;624.0;373.0;
7;579.0;434.0;
8;529.0;503.0;
9;483.0;598.0;
14;577.0;310.0;
15;525.0;364.0;
16;479.0;433.0;
17;431.0;529.0;
21;527.0;255.0;
22;474.0;309.0;
23;431.0;378.0;
24;394.0;461.0;
30;350.0;411.0;
36;322.0;378.0;
42;315.0;486.0;
43;344.0;541.0;
44;388.0;608.0;
45;455.0;680.0;
52;326.0;620.0;
53;383.0;700.0;
79;375.0;781.0;
80;443.0;767.0;
81;531.0;731.0;
89;443.0;832.0;
90;534.0;797.0;
130;623.0;829.0;
131;622.0;766.0;
132;611.0;679.0;
142;695.0;831.0;
143;699.0;779.0;
144;685.0;692.0;
155;753.0;700.0;
184;751.0;612.0;
185;677.0;600.0;
186;583.0;593.0;
196;787.0;540.0;
197;721.0;532.0;
198;625.0;526.0;
206;753.0;466.0;
207;669.0;454.0;
214;778.0;417.0;
215;713.0;400.0;
257;533.0;657.0;
