Sensor id; Sensor center x; Sensor center y;
65;329.0;416.0;
66;387.0;395.0;
72;354.0;457.0;
76;368.0;520.0;
77;415.0;460.0;
78;457.0;400.0;
80;563.0;285.0;
85;399.0;588.0;
86;439.0;532.0;
87;488.0;467.0;
88;539.0;403.0;
89;593.0;340.0;
94;386.0;739.0;
95;403.0;697.0;
96;429.0;652.0;
97;475.0;606.0;
98;518.0;540.0;
99;569.0;472.0;
100;624.0;406.0;
101;702.0;420.0;
103;421.0;813.0;
104;436.0;788.0;
105;441.0;755.0;
106;461.0;715.0;
107;508.0;669.0;
108;564.0;611.0;
109;602.0;547.0;
110;646.0;483.0;
111;474.0;857.0;
112;483.0;834.0;
113;501.0;808.0;
115;553.0;729.0;
116;602.0;678.0;
117;658.0;603.0;
118;686.0;553.0;
119;713.0;491.0;
120;533.0;865.0;
121;543.0;847.0;
124;647.0;725.0;
125;688.0;666.0;
126;726.0;595.0;
127;757.0;534.0;
128;764.0;459.0;
129;756.0;380.0;
134;599.0;845.0;
135;635.0;810.0;
136;679.0;765.0;
141;802.0;430.0;
145;647.0;844.0;
146;663.0;829.0;
147;693.0;795.0;
153;837.0;408.0;
