Sensor id; Sensor center x; Sensor center y;
9;588.0;233.431458;
16;444.769531;281.755341;
17;543.234009;279.898071;
23;398.112915;335.244659;
24;499.499634;333.003906;
28;312.573639;412.244995;
29;379.057526;407.533386;
30;458.188934;400.876434;
35;364.692322;489.135742;
36;423.671875;474.546875;
39;376.47052;581.18396;
40;444.502228;549.355957;
41;489.931458;487.465546;
42;535.162476;412.254791;
43;577.431458;355.294403;
44;626.905212;304.317108;
45;665.945557;242.239548;
46;360.455261;699.085205;
47;414.606537;669.971252;
48;477.875702;636.807861;
49;522.176147;576.458496;
50;563.59729;510.865753;
51;604.812622;433.104919;
52;651.0;370.431458;
53;703.0;302.534088;
54;449.982544;750.309143;
55;500.119629;702.367798;
56;555.429688;657.462769;
57;586.134583;590.858643;
58;632.904236;520.70166;
59;673.5;444.023438;
60;729.195557;374.079346;
61;537.431458;766.955261;
62;580.552979;721.551514;
63;629.043518;665.963318;
64;659.219849;598.26416;
65;703.003906;526.636719;
66;741.740967;452.618561;
68;609.274475;775.465576;
69;660.568176;726.0;
70;703.076721;665.876038;
71;738.728699;597.954895;
72;759.469482;526.6651;
74;752.092896;706.667725;
75;778.154602;633.333984;
76;805.632812;558.210815;
77;803.49469;481.294403;
78;797.431458;403.888855;
79;785.869324;327.448151;
80;749.589355;263.358551;
83;797.992004;721.404175;
84;821.165833;663.306824;
86;844.513184;510.156433;
87;844.163879;430.309937;
88;830.228333;350.398071;
92;755.802856;829.402588;
99;869.510986;389.352783;
102;774.024841;841.571838;
245;408.889679;908.409058;
246;441.976929;928.560364;
248;450.470093;830.108093;
249;479.326019;887.837219;
252;415.5625;871.312866;
253;517.633972;829.802368;
257;629.1026;201.048645;
