Sensor id; Sensor center x; Sensor center y;
6;595.644897;453.888489;
7;549.061462;491.559662;
8;485.560669;548.41156;
9;422.692383;625.5755;
14;562.059937;383.705536;
15;505.738037;426.349121;
16;446.407654;471.376556;
17;382.561157;556.928772;
21;516.161865;328.717072;
22;464.610565;363.405914;
23;407.268097;422.370026;
24;351.668274;488.547211;
27;478.531769;293.114349;
28;424.921112;324.194366;
30;322.490387;433.889893;
42;267.476257;494.908691;
43;289.036224;557.72229;
44;323.364441;628.918701;
45;381.368958;705.581299;
51;230.356186;560.0;
52;255.138489;620.5;
53;302.765137;711.965271;
59;204.506042;633.510681;
60;240.013672;707.405884;
65;165.074341;638.675415;
79;280.707886;793.168945;
80;357.025391;793.580566;
81;458.327759;765.716614;
88;272.647186;854.209351;
89;346.118622;860.12854;
90;445.802765;837.708557;
100;350.954254;912.531006;
110;355.473785;952.802979;
129;517.454834;928.736023;
130;536.866089;887.21344;
131;543.594727;817.037964;
132;538.169006;720.184998;
143;621.331299;833.78302;
144;609.599792;748.232605;
184;685.042236;680.678284;
185;617.5;653.356201;
186;522.026428;627.745911;
196;722.62384;627.919434;
197;671.958862;609.919617;
198;578.377319;575.235474;
206;708.378967;553.539246;
207;630.966125;531.302368;
215;671.742188;486.194611;
223;728.816345;479.090302;
257;467.335571;695.993958;
