Sensor id; Sensor center x; Sensor center y;
106;221.0;539.0;
108;300.0;430.0;
112;259.0;753.0;
113;264.0;672.0;
116;326.0;453.0;
122;316.0;651.0;
123;336.0;573.0;
124;374.0;495.0;
134;361.0;692.0;
135;382.0;628.0;
136;420.0;551.0;
137;452.0;479.0;
138;492.0;424.0;
145;412.0;735.0;
146;434.0;684.0;
147;459.0;615.0;
148;503.0;550.0;
149;534.0;481.0;
150;579.0;434.0;
151;608.0;398.0;
152;637.0;381.0;
156;507.0;681.0;
157;542.0;615.0;
158;587.0;558.0;
159;627.0;502.0;
165;563.0;729.0;
166;598.0;679.0;
167;613.0;635.0;
174;625.0;745.0;
175;651.0;699.0;
