Sensor id; Sensor center x; Sensor center y;
45;627.0;155.0;
53;579.0;189.0;
57;332.0;314.0;
58;374.0;281.0;
60;528.0;236.0;
64;346.0;354.0;
65;399.0;318.0;
66;467.0;299.0;
71;375.0;408.0;
72;425.0;361.0;
76;442.0;431.0;
77;491.0;369.0;
78;550.0;305.0;
79;608.0;258.0;
80;657.0;211.0;
83;404.0;617.0;
84;430.0;576.0;
85;475.0;516.0;
86;525.0;447.0;
87;581.0;377.0;
88;635.0;315.0;
89;688.0;268.0;
94;440.0;678.0;
95;464.0;645.0;
96;511.0;597.0;
97;564.0;527.0;
98;612.0;457.0;
99;661.0;390.0;
100;718.0;328.0;
101;792.0;351.0;
104;494.0;738.0;
105;501.0;710.0;
106;546.0;665.0;
107;592.0;611.0;
108;648.0;544.0;
109;696.0;470.0;
110;743.0;404.0;
113;563.0;754.0;
114;591.0;723.0;
115;636.0;673.0;
116;693.0;621.0;
117;744.0;542.0;
118;774.0;474.0;
119;803.0;415.0;
123;670.0;724.0;
124;719.0;670.0;
125;767.0;606.0;
126;807.0;532.0;
127;838.0;466.0;
128;849.0;385.0;
135;698.0;761.0;
137;786.0;658.0;
138;831.0;597.0;
139;860.0;519.0;
146;723.0;795.0;
149;842.0;638.0;
186;672.0;138.0;
