Sensor id; Sensor center x; Sensor center y;
3;320.0;494.0;
4;366.0;431.0;
5;416.0;366.0;
6;464.0;320.0;
7;492.0;271.0;
8;529.0;229.0;
11;356.0;566.0;
12;403.0;494.0;
13;454.0;421.0;
14;502.0;360.0;
15;543.0;317.0;
16;576.0;271.0;
18;398.0;615.0;
19;445.0;560.0;
20;498.0;494.0;
21;546.0;426.0;
22;581.0;362.0;
23;611.0;323.0;
25;501.0;628.0;
26;547.0;562.0;
27;590.0;493.0;
28;629.0;430.0;
29;656.0;369.0;
31;547.0;681.0;
32;589.0;626.0;
33;650.0;562.0;
34;677.0;493.0;
35;700.0;434.0;
36;712.0;387.0;
37;685.0;608.0;
40;753.0;433.0;
186;485.0;189.0;
195;253.0;328.0;
196;307.0;274.0;
198;452.0;225.0;
205;282.0;351.0;
207;413.0;269.0;
213;270.0;416.0;
214;314.0;361.0;
223;306.0;426.0;
224;350.0;378.0;
234;323.0;788.0;
235;302.0;794.0;
238;359.0;825.0;
241;697.0;794.0;
