Sensor id; Sensor center x; Sensor center y;
4;329.0;554.0;
5;394.0;498.0;
6;455.0;446.0;
7;505.0;395.0;
8;561.0;354.0;
12;350.0;624.0;
13;417.0;566.0;
14;480.0;506.0;
15;535.0;455.0;
16;592.0;413.0;
18;327.0;750.0;
19;377.0;713.0;
20;442.0;651.0;
21;512.0;585.0;
22;567.0;523.0;
23;615.0;479.0;
24;670.0;431.0;
25;423.0;794.0;
26;475.0;740.0;
27;540.0;678.0;
28;602.0;603.0;
29;652.0;548.0;
30;699.0;498.0;
31;458.0;867.0;
32;513.0;812.0;
33;583.0;757.0;
34;636.0;687.0;
35;689.0;626.0;
36;721.0;569.0;
37;626.0;809.0;
38;676.0;761.0;
41;761.0;548.0;
42;741.0;467.0;
46;708.0;812.0;
50;797.0;531.0;
51;779.0;452.0;
186;536.0;302.0;
223;284.0;536.0;
224;330.0;494.0;
