Sensor id; Sensor center x; Sensor center y;
66;377.0;388.0;
72;340.0;460.0;
76;347.0;528.0;
77;384.0;451.0;
78;440.0;373.0;
86;410.0;525.0;
87;463.0;439.0;
88;529.0;363.0;
89;604.0;310.0;
90;684.0;261.0;
97;446.0;594.0;
98;493.0;513.0;
99;557.0;433.0;
100;632.0;365.0;
101;730.0;377.0;
105;438.0;793.0;
106;452.0;735.0;
107;492.0;668.0;
108;543.0;593.0;
109;593.0;507.0;
110;656.0;437.0;
111;478.0;942.0;
112;490.0;916.0;
113;508.0;857.0;
114;519.0;808.0;
115;548.0;737.0;
116;599.0;665.0;
117;665.0;576.0;
118;697.0;506.0;
119;743.0;443.0;
120;525.0;974.0;
121;560.0;930.0;
122;589.0;874.0;
123;619.0;813.0;
124;666.0;738.0;
125;721.0;651.0;
126;755.0;566.0;
127;795.0;492.0;
128;815.0;425.0;
134;641.0;929.0;
135;685.0;872.0;
136;739.0;804.0;
137;780.0;720.0;
138;810.0;637.0;
139;840.0;549.0;
140;865.0;478.0;
141;864.0;405.0;
142;849.0;338.0;
145;695.0;962.0;
146;728.0;912.0;
147;773.0;849.0;
148;819.0;775.0;
151;906.0;529.0;
152;911.0;461.0;
153;900.0;391.0;
154;902.0;322.0;
156;816.0;913.0;
157;855.0;819.0;
162;956.0;434.0;
