Sensor id; Sensor center x; Sensor center y;
99;334.946472;258.726715;
109;342.700348;287.993011;
113;234.240768;624.181458;
114;241.583099;561.825256;
115;277.455841;465.223297;
116;329.313202;385.681458;
117;390.931458;315.931458;
118;430.692352;282.390686;
120;244.918808;786.273743;
121;262.849701;704.030457;
122;293.669952;620.642456;
123;316.643097;527.361511;
124;368.761047;441.122559;
125;421.534088;374.204559;
126;468.244659;324.866821;
127;528.529175;294.798981;
133;290.949219;779.720154;
134;323.012085;690.765991;
135;368.168335;604.99469;
136;416.063202;518.465576;
137;464.418457;440.799988;
138;520.992981;384.555511;
139;560.678467;335.305328;
140;617.398621;305.08194;
145;348.338074;759.110107;
146;409.25946;681.80658;
147;456.194305;603.551086;
148;514.563232;521.081665;
149;563.989807;453.86734;
150;618.681458;405.25;
151;669.267517;367.599396;
152;696.885986;332.161591;
156;492.5448;691.334961;
157;551.828491;610.111877;
158;612.557861;544.130676;
159;662.955261;480.84729;
160;708.09729;445.253906;
165;516.557556;767.015991;
166;584.372925;704.929993;
167;637.59729;630.534119;
168;704.441956;581.62738;
169;749.077148;533.182495;
174;598.293701;775.095215;
175;663.029114;717.901306;
176;715.139587;649.9599;
177;765.776978;618.252502;
187;672.107971;803.147705;
188;724.745789;741.995667;
189;761.153564;680.372803;
190;806.189697;648.784424;
199;724.132385;804.720398;
