Sensor id; Sensor center x; Sensor center y;
33;493.0;155.0;
37;528.0;191.0;
46;629.0;211.0;
47;668.0;184.0;
48;707.0;155.0;
49;732.0;119.0;
54;709.0;260.0;
55;737.0;215.0;
56;768.0;178.0;
57;784.0;139.0;
61;779.0;288.0;
62;804.0;242.0;
63;828.0;201.0;
64;833.0;158.0;
68;837.0;307.0;
73;839.0;425.0;
241;553.0;402.0;
242;625.0;477.0;
243;656.0;523.0;
244;620.0;390.0;
245;677.0;444.0;
246;703.0;508.0;
247;723.0;585.0;
248;687.0;373.0;
249;736.0;427.0;
250;759.0;504.0;
251;788.0;576.0;
252;720.0;334.0;
254;789.0;420.0;
255;810.0;499.0;
256;833.0;553.0;
